SlowK,SlowD,RSI,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
30.3858,24.9819,33.801,160.5188,-63.1595,90.0,20.0,0.56,0.6399,0.5508,0.555,91780.0,1
24.6641,20.663,34.2863,163.6286,-78.5453,100.0,30.0,0.5725,0.65,0.51,0.5599,412486.0,-1
19.8957,18.3618,35.2243,167.0077,-78.177,80.0,0.0,0.5875,0.64,0.55,0.57,49393.0,-1
17.4291,15.2829,36.1046,170.5088,-86.1325,90.0,10.0,0.562,0.6398,0.562,0.58,287969.0,1
17.7604,15.8267,38.7169,174.1529,-115.9186,100.0,20.0,0.61,0.61,0.5395,0.61,525964.0,-1
10.659,19.7142,39.576,177.2462,-124.571,80.0,30.0,0.62,0.65,0.5925,0.62,117115.0,-1
19.0606,29.2331,39.576,180.4242,-162.2825,90.0,0.0,0.609,0.67,0.6,0.62,376825.0,1
29.423,31.3763,33.9492,184.0562,-196.349,100.0,10.0,0.8099,0.8099,0.5725,0.5726,793584.0,-1
39.2157,24.8409,53.6078,189.8999,-7.5036,0.0,20.0,0.77,0.8699,0.7516,0.78,306273.0,-1
25.4902,12.628,54.9896,189.1714,-57.1563,0.0,30.0,0.7506,0.79,0.74,0.79,136688.0,1
9.8167,10.9087,51.6228,187.9816,-57.528,10.0,40.0,0.7205,0.7801,0.71,0.76,99449.0,1
2.5769,19.8818,47.0482,187.6932,-58.7318,20.0,50.0,0.7601,0.7616,0.7215,0.7215,202116.0,-1
20.3324,36.8025,51.4372,188.7386,22.8724,30.0,60.0,0.78,0.88,0.76,0.7601,613248.0,-1
36.7362,49.7292,53.7643,188.5549,21.1287,40.0,70.0,0.8136,0.827,0.76,0.78,261668.0,-1
53.3388,59.1803,60.4428,187.6341,51.7836,50.0,80.0,0.82,0.84,0.79,0.834,361138.0,-1
59.1127,56.7778,58.9998,184.6533,59.2705,60.0,90.0,0.8688,0.8699,0.762,0.817,493931.0,-1
65.0895,46.7602,63.0159,181.8538,148.835,70.0,100.0,0.89,1.02,0.82,0.85,3220397.0,-1
46.1311,28.2096,64.2079,177.4757,181.5486,80.0,100.0,0.8,0.96,0.77,0.86,3954458.0,1
29.06,16.6112,62.5302,172.1151,175.959,90.0,100.0,0.64,0.9381,0.622,0.8337,4980554.0,1
